HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Ghana,Germany,2010,0,1,1
South Korea,Belgium,2014,0,1,1
South Korea,Algeria,2014,2,4,6
Belgium,Russia,2014,1,0,1
Russia,South Korea,2014,1,1,2
Belgium,Algeria,2014,2,1,3
Portugal,Ghana,2014,2,1,3
Germany,Ghana,2014,2,2,4
United States,Portugal,2014,2,2,4
Ghana,United States,2014,1,2,3
Germany,Portugal,2014,4,0,4
Bosnia and Herzegovina,Iran,2014,3,1,4
Nigeria,Argentina,2014,2,3,5
Algeria,Russia,2014,1,1,2
United States,Germany,2014,0,1,1
Brazil,Chile,2014,1,1,2
Brazil,Netherlands,2014,0,3,3
Netherlands,Mexico,2014,2,1,3
Costa Rica,Greece,2014,1,1,2
France,Nigeria,2014,2,0,2
Germany,Algeria,2014,2,1,3
Argentina,Switzerland,2014,1,0,1
Belgium,United States,2014,2,1,3
France,Germany,2014,0,1,1
Brazil,Colombia,2014,2,1,3
Argentina,Belgium,2014,1,0,1
Germany,Argentina,2014,1,0,1
Netherlands,Costa Rica,2014,0,0,0
Brazil,Germany,2014,1,7,8
Netherlands,Argentina,2014,0,0,0
Nigeria,Bosnia and Herzegovina,2014,1,0,1
Colombia,Uruguay,2014,2,0,2
Argentina,Iran,2014,1,0,1
Cameroon,Brazil,2014,1,4,5
Argentina,Bosnia and Herzegovina,2014,2,1,3
Iran,Nigeria,2014,0,0,0
Brazil,Croatia,2014,3,1,4
Mexico,Cameroon,2014,1,0,1
Brazil,Mexico,2014,0,0,0
Cameroon,Croatia,2014,0,4,4
Croatia,Mexico,2014,1,3,4
Spain,Netherlands,2014,1,5,6
Chile,Australia,2014,3,1,4
Spain,Chile,2014,0,2,2
Australia,Spain,2014,0,3,3
Netherlands,Chile,2014,2,0,2
Colombia,Greece,2014,3,0,3
Ivory Coast,Japan,2014,2,1,3
Colombia,Ivory Coast,2014,2,1,3
Australia,Netherlands,2014,2,3,5
Japan,Colombia,2014,1,4,5
Japan,Greece,2014,0,0,0
Honduras,Switzerland,2014,0,3,3
Honduras,Ecuador,2014,1,2,3
Switzerland,France,2014,2,5,7
France,Honduras,2014,3,0,3
Costa Rica,England,2014,0,0,0
Switzerland,Ecuador,2014,2,1,3
Ecuador,France,2014,0,0,0
Italy,Costa Rica,2014,0,1,1
Uruguay,England,2014,2,1,3
England,Italy,2014,1,2,3
Uruguay,Costa Rica,2014,1,3,4
Greece,Ivory Coast,2014,2,1,3
Italy,Uruguay,2014,0,1,1
Panama,Tunisia,2018,1,2,3
Japan,Senegal,2018,2,2,4
Poland,Senegal,2018,1,2,3
Colombia,Japan,2018,1,2,3
England,Belgium,2018,0,1,1
Germany,Sweden,2018,2,1,3
Belgium,Tunisia,2018,5,2,7
Tunisia,England,2018,1,2,3
Belgium,Panama,2018,3,0,3
Mexico,Sweden,2018,0,3,3
South Korea,Germany,2018,2,0,2
Poland,Colombia,2018,0,3,3
England,Panama,2018,6,1,7
Japan,Poland,2018,0,1,1
Croatia,England,2018,2,1,3
France,Argentina,2018,4,3,7
Uruguay,Portugal,2018,2,1,3
Spain,Russia,2018,1,1,2
Croatia,Denmark,2018,1,1,2
Brazil,Mexico,2018,2,0,2
Belgium,Japan,2018,3,2,5
Sweden,Switzerland,2018,1,0,1
Colombia,England,2018,1,1,2
Uruguay,France,2018,0,2,2
Brazil,Belgium,2018,1,2,3
Sweden,England,2018,0,2,2
Russia,Croatia,2018,2,2,4
France,Belgium,2018,1,0,1
South Korea,Mexico,2018,1,2,3
Senegal,Colombia,2018,0,1,1
Sweden,South Korea,2018,1,0,1
Denmark,France,2018,0,0,0
Switzerland,Costa Rica,2018,2,2,4
Belgium,England,2018,2,0,2
Russia,Saudi Arabia,2018,5,0,5
Egypt,Uruguay,2018,0,1,1
Russia,Egypt,2018,3,1,4
Uruguay,Saudi Arabia,2018,1,0,1
Uruguay,Russia,2018,3,0,3
Saudi Arabia,Egypt,2018,2,1,3
Morocco,Iran,2018,0,1,1
Portugal,Spain,2018,3,3,6
Portugal,Morocco,2018,1,0,1
Iran,Spain,2018,0,1,1
Iran,Portugal,2018,1,1,2
Spain,Morocco,2018,2,2,4
France,Australia,2018,2,1,3
Peru,Denmark,2018,0,1,1
Denmark,Australia,2018,1,1,2
France,Peru,2018,1,0,1
Australia,Peru,2018,0,2,2
Argentina,Iceland,2018,1,1,2
Croatia,Nigeria,2018,2,0,2
Argentina,Croatia,2018,0,3,3
Nigeria,Iceland,2018,2,0,2
Nigeria,Argentina,2018,1,2,3
Iceland,Croatia,2018,1,2,3
Costa Rica,Serbia,2018,0,1,1
Brazil,Switzerland,2018,1,1,2
Brazil,Costa Rica,2018,2,0,2
Serbia,Switzerland,2018,1,2,3
Serbia,Brazil,2018,0,2,2
Germany,Mexico,2018,0,1,1
France,Croatia,2018,4,2,6
